model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,predicted_positive_n,predicted_positive_rate,true_positive,false_positive,true_negative,false_negative
Gradient boosting,0.06,0.047058823529411764,0.8678308823529411,0.011004126547455296,0.017837235228539576,0.4574448529411764,727,0.12959001782531193,8,719,4721,162
Gradient boosting,0.065,0.041176470588235294,0.8851102941176471,0.011075949367088608,0.01745635910224439,0.46314338235294117,632,0.11265597147950089,7,625,4815,163
Gradient boosting,0.07,0.03529411764705882,0.897610294117647,0.010657193605683837,0.01637107776261937,0.4664522058823529,563,0.10035650623885918,6,557,4883,164
Gradient boosting,0.07500000000000001,0.023529411764705882,0.903125,0.007532956685499058,0.011412268188302424,0.46332720588235293,531,0.0946524064171123,4,527,4913,166
Gradient boosting,0.08,0.01764705882352941,0.9102941176470588,0.006109979633401222,0.009077155824508321,0.46397058823529413,491,0.0875222816399287,3,488,4952,167
Gradient boosting,0.085,0.01764705882352941,0.9213235294117647,0.0069605568445475635,0.009983361064891847,0.46948529411764706,431,0.0768270944741533,3,428,5012,167
Gradient boosting,0.09000000000000001,0.01764705882352941,0.9279411764705883,0.007594936708860759,0.010619469026548672,0.47279411764705886,395,0.07040998217468805,3,392,5048,167
Gradient boosting,0.095,0.01764705882352941,0.9297794117647059,0.007792207792207792,0.010810810810810811,0.4737132352941177,385,0.06862745098039216,3,382,5058,167
Gradient boosting,0.1,0.01764705882352941,0.9356617647058824,0.0084985835694051,0.011472275334608033,0.4766544117647059,353,0.06292335115864528,3,350,5090,167
Gradient boosting,0.125,0.011764705882352941,0.9579044117647059,0.008658008658008658,0.009975062344139652,0.4848345588235294,231,0.041176470588235294,2,229,5211,168
Gradient boosting,0.15,0.0058823529411764705,0.9713235294117647,0.006369426751592357,0.0061162079510703364,0.4886029411764706,157,0.027985739750445632,1,156,5284,169
Gradient boosting,0.2,0.0058823529411764705,0.9764705882352941,0.007751937984496124,0.006688963210702341,0.49117647058823527,129,0.022994652406417113,1,128,5312,169
Gradient boosting,0.25,0,0.9792279411764706,0,NA,0.4896139705882353,113,0.02014260249554367,0,113,5327,170
Gradient boosting,0.3,0,0.9821691176470588,0,NA,0.4910845588235294,97,0.017290552584670233,0,97,5343,170
Gradient boosting,0.4,0,0.9887867647058823,0,NA,0.49439338235294117,61,0.010873440285204991,0,61,5379,170
Gradient boosting,0.5,0,0.9957720588235294,0,NA,0.4978860294117647,23,0.0040998217468805704,0,23,5417,170
