key_id,stadium_id,stadium_name,city_name,country_name,stadium_capacity,stadium_wikipedia_link,city_wikipedia_link,page_title,canonical_title,article_iri,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,demolished_year,tenants
24,S-024,Commonwealth Stadium,Edmonton,Canada,56000,https://en.wikipedia.org/wiki/Commonwealth_Stadium_(Edmonton),https://en.wikipedia.org/wiki/Edmonton,Commonwealth Stadium (Edmonton),Commonwealth Stadium,https://en.wikipedia.org/wiki/Commonwealth_Stadium,http://www.wikidata.org/entity/Q130381,Commonwealth Stadium,Point(-113.476111111 53.559722222),56302,1978,NA,Edmonton Elks; Edmonton Drillers
25,S-025,Moncton Stadium,Moncton,Canada,13000,https://en.wikipedia.org/wiki/Moncton_Stadium,https://en.wikipedia.org/wiki/Moncton,Moncton Stadium,Croix-Bleue Medavie Stadium,https://en.wikipedia.org/wiki/Croix-Bleue_Medavie_Stadium,http://www.wikidata.org/entity/Q1944117,Moncton Stadium,Point(-64.7833 46.1083),10000,2010,NA,
26,S-026,Olympic Stadium,Montreal,Canada,56000,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),https://en.wikipedia.org/wiki/Montreal,Olympic Stadium (Montreal),Olympic Stadium (Montreal),https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),http://www.wikidata.org/entity/Q285467,Olympic Stadium,Point(-73.55164 45.55781),45757,1976,NA,Montreal Expos; Q3454983
27,S-027,TD Place Stadium,Ottawa,Canada,24000,https://en.wikipedia.org/wiki/TD_Place_Stadium,https://en.wikipedia.org/wiki/Ottawa,TD Place Stadium,TD Place Stadium,https://en.wikipedia.org/wiki/TD_Place_Stadium,http://www.wikidata.org/entity/Q1442809,TD Place Stadium,Point(-75.68365 45.398177777),24000,1908,NA,Ottawa Renegades; Ottawa Rough Riders; Ottawa Fury FC; Ottawa Redblacks; Atlético Ottawa
28,S-028,BC Place,Vancouver,Canada,54000,https://en.wikipedia.org/wiki/BC_Place,https://en.wikipedia.org/wiki/Vancouver,BC Place,BC Place,https://en.wikipedia.org/wiki/BC_Place,http://www.wikidata.org/entity/Q612227,BC Place,Point(-123.111944444 49.276666666),54500,1983,NA,Vancouver Whitecaps FC; BC Lions
29,S-029,Investors Group Field,Winnipeg,Canada,33000,https://en.wikipedia.org/wiki/Investors_Group_Field,https://en.wikipedia.org/wiki/Winnipeg,Investors Group Field,Princess Auto Stadium,https://en.wikipedia.org/wiki/Princess_Auto_Stadium,http://www.wikidata.org/entity/Q1671788,Princess Auto Stadium,Point(-97.143056 49.807778),33422,2013,NA,Winnipeg Blue Bombers; Valour FC
30,S-030,Estadio Carlos Dittborn,Arica,Chile,18000,https://en.wikipedia.org/wiki/Estadio_Carlos_Dittborn,https://en.wikipedia.org/wiki/Arica,Estadio Carlos Dittborn,Carlos Dittborn Stadium,https://en.wikipedia.org/wiki/Carlos_Dittborn_Stadium,http://www.wikidata.org/entity/Q941620,Carlos Dittborn Stadium,Point(-70.299166666 -18.4875),9956,1962,NA,San Marcos de Arica
31,S-031,Estadio El Teniente,Rancagua,Chile,18000,https://en.wikipedia.org/wiki/Estadio_El_Teniente,https://en.wikipedia.org/wiki/Rancagua,Estadio El Teniente,Estadio El Teniente,https://en.wikipedia.org/wiki/Estadio_El_Teniente,http://www.wikidata.org/entity/Q991407,Estadio El Teniente,Point(-70.7375 -34.177777777),20,1947,2013,O'Higgins F.C.
32,S-032,Estadio Nacional,Santiago,Chile,67000,https://en.wikipedia.org/wiki/Estadio_Nacional_Julio_Mart%C3%ADnez_Prádanos,https://en.wikipedia.org/wiki/Santiago,Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos,https://en.wikipedia.org/wiki/Estadio_Nacional_Julio_Mart%C3%ADnez_Pr%C3%A1danos,http://www.wikidata.org/entity/Q594994,Julio Martínez Prádanos National Stadium,Point(-70.610555555 -33.464444444),46190,1938,NA,Chile men's national football team; Chile women's national association football team; Club Universidad de Chile
33,S-033,Estadio Sausalito,Viña del Mar,Chile,18000,https://en.wikipedia.org/wiki/Estadio_Sausalito,https://en.wikipedia.org/wiki/Viña_del_Mar,Estadio Sausalito,Sausalito Stadium,https://en.wikipedia.org/wiki/Sausalito_Stadium,http://www.wikidata.org/entity/Q658351,Sausalito Stadium,Point(-71.535 -33.014444444),21739,1929,NA,Everton de Viña del Mar
34,S-034,Chengdu Sports Center,Chengdu,China,40000,https://en.wikipedia.org/wiki/Chengdu_Sports_Centre,https://en.wikipedia.org/wiki/Chengdu,Chengdu Sports Centre,Chengdu Sports Centre,https://en.wikipedia.org/wiki/Chengdu_Sports_Centre,http://www.wikidata.org/entity/Q1069950,Chengdu Sports Centre,Point(104.06472222 30.66555556),38269,NA,NA,Chengdu Tiancheng F.C.
35,S-035,New Plaza Stadium,Foshan,China,14000,https://en.wikipedia.org/wiki/New_Plaza_Stadium,https://en.wikipedia.org/wiki/Foshan,New Plaza Stadium,New Plaza Stadium,https://en.wikipedia.org/wiki/New_Plaza_Stadium,http://www.wikidata.org/entity/Q12127138,New Plaza Stadium,Point(113.113 23.0312),14000,1991,2007,
36,S-036,Gaungdong Provincial Stadium,Guangzhou,China,25000,https://en.wikipedia.org/wiki/Guangdong_Provincial_People's_Stadium,https://en.wikipedia.org/wiki/Guangzhou,Guangdong Provincial People's Stadium,Guangdong Provincial People's Stadium,https://en.wikipedia.org/wiki/Guangdong_Provincial_People%27s_Stadium,http://www.wikidata.org/entity/Q986110,Guangdong Provincial People's Stadium,Point(113.278672 23.12711),15000,1932,NA,Guangdong Sunray Cave F.C.
37,S-037,Guangdong Provincial Stadium,Guangzhou,China,25000,https://en.wikipedia.org/wiki/Guangdong_Provincial_People's_Stadium,https://en.wikipedia.org/wiki/Guangzhou,Guangdong Provincial People's Stadium,Guangdong Provincial People's Stadium,https://en.wikipedia.org/wiki/Guangdong_Provincial_People%27s_Stadium,http://www.wikidata.org/entity/Q986110,Guangdong Provincial People's Stadium,Point(113.278672 23.12711),15000,1932,NA,Guangdong Sunray Cave F.C.
38,S-038,Tainhe Stadium,Guangzhou,China,60000,https://en.wikipedia.org/wiki/Tianhe_Stadium,https://en.wikipedia.org/wiki/Guangzhou,Tianhe Stadium,Tianhe Stadium,https://en.wikipedia.org/wiki/Tianhe_Stadium,http://www.wikidata.org/entity/Q929126,Tianhe Stadium,Point(113.31934 23.14052),58500,1987,NA,Guangzhou F.C.
39,S-039,Tianhe Stadium,Guangzhou,China,60000,https://en.wikipedia.org/wiki/Tianhe_Stadium,https://en.wikipedia.org/wiki/Guangzhou,Tianhe Stadium,Tianhe Stadium,https://en.wikipedia.org/wiki/Tianhe_Stadium,http://www.wikidata.org/entity/Q929126,Tianhe Stadium,Point(113.31934 23.14052),58500,1987,NA,Guangzhou F.C.
40,S-040,Ying Tung Stadium,Guangzhou,China,15000,https://en.wikipedia.org/wiki/Henry_Fok_Stadium,https://en.wikipedia.org/wiki/Guangzhou,Henry Fok Stadium,Henry Fok Stadium,https://en.wikipedia.org/wiki/Henry_Fok_Stadium,http://www.wikidata.org/entity/Q3271722,Henry Fok Stadium,Point(113.352264 22.945908),14818,NA,NA,
41,S-041,Yellow Dragon Sports Center,Hangzhou,China,51000,https://en.wikipedia.org/wiki/Yellow_Dragon_Sports_Center,https://en.wikipedia.org/wiki/Hangzhou,Yellow Dragon Sports Center,Huanglong Sports Center,https://en.wikipedia.org/wiki/Huanglong_Sports_Center,http://www.wikidata.org/entity/Q1302940,Huanglong Sports Center,Point(120.129 30.2683),51000,2000,NA,Zhejiang Professional F.C.
42,S-042,Jiangmen Stadium,Jiangmen,China,13000,https://en.wikipedia.org/wiki/Jiangmen_Stadium,https://en.wikipedia.org/wiki/Jiangmen,Jiangmen Stadium,Jiangmen Stadium,https://en.wikipedia.org/wiki/Jiangmen_Stadium,http://www.wikidata.org/entity/Q11869422,Jiangmen Stadium,Point(113.08382 22.588694),13000,NA,NA,
43,S-043,Hongkou Football Stadium,Shanghai,China,33000,https://en.wikipedia.org/wiki/Hongkou_Football_Stadium,https://en.wikipedia.org/wiki/Shanghai,Hongkou Football Stadium,Hongkou Football Stadium,https://en.wikipedia.org/wiki/Hongkou_Football_Stadium,http://www.wikidata.org/entity/Q201773,Hongkou Football Stadium,Point(121.4762 31.2733),33060,1999,NA,Shanghai Shenhua F.C.
44,S-044,Tianjin Olympic Center,Tianjin,China,60000,https://en.wikipedia.org/wiki/Tianjin_Olympic_Center,https://en.wikipedia.org/wiki/Tianjin,Tianjin Olympic Center,Tianjin Olympic Centre,https://en.wikipedia.org/wiki/Tianjin_Olympic_Centre,http://www.wikidata.org/entity/Q834369,Tianjin Olympic Center Stadium,Point(117.169389 39.073444),60000,2007,NA,Tianjin Jinmen Tiger F.C.
45,S-045,Wuhan Sports Center,Wuhan,China,60000,https://en.wikipedia.org/wiki/Wuhan_Sports_Center,https://en.wikipedia.org/wiki/Wuhan,Wuhan Sports Center,Wuhan Sports Center,https://en.wikipedia.org/wiki/Wuhan_Sports_Center,http://www.wikidata.org/entity/Q1194029,Wuhan Sports Center,Point(114.166253 30.502313),54357,2002,NA,Wuhan Yangtze River F.C.
