venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source
Tennis Pavilion at Östermalm Athletic Grounds (Östermalm Idrottsplats),New build,"Tennis, fencing, modern  pentathlon (fencing)",In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,1912 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8118,1912 Summer Olympics,NA,NA,NA,NA
"Kaknäs Shooting Range, Djurgården",New build,Shooting,Not in use (demolished),1912,Stockholm,war - not a failure,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Djurgårdens IF,sports club; alliance club,http://www.wikidata.org/entity/Q6418817,Djurgårdens IF,NA,NA,NA,NA
"Swimming Stadium, Djurgården Bay",Temporary,"Swimming, diving, water
polo",Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,List of sports rivalries,Wikimedia list article,http://www.wikidata.org/entity/Q117530683,list of sports rivalries,NA,NA,NA,NA
Liljeholm Bridge-Olympic Stadium-Lake Mälär,Temporary,Cycling (road),Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA
Råsunda,Temporary,Shooting,Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Råsunda Stadium,destroyed building or structure; defunct sports venue,http://www.wikidata.org/entity/Q725623,Råsunda Stadium,NA,NA,NA,NA
Olympic Stadium-Sollentuna-Olympic Stadium,Temporary,Marathon,Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Football in Stockholm,sport in a geographic region,http://www.wikidata.org/entity/Q23044688,football in Stockholm,NA,NA,NA,NA
Sandhamm,Existing,Sailing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA
Barkaby to Rinkeby,Existing,Modern pentathlon,Not in use (demolished),1912,Stockholm,urban redevelopment - not a failure,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA
Nynäshamn,New build,Sailing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Nynäshamn,urban area in Sweden,http://www.wikidata.org/entity/Q738338,Nynäshamn,NA,NA,NA,NA
Hoogboom Country Club,Existing,"Eventing, shooting",Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,1920 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8128,1920 Summer Olympics,NA,NA,NA,NA
Nightingale Park (Nachtegalenpark),Existing,Archery,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA
"Celebration Hall, Royal Zoological Society (Feestzaal, Koninklijke Zoölogische Maatschappij)",Existing,"Boxing, wrestling",In use (rebuilt),1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA
Royal Beerschot Tennis and Hockey Club,Existing,"Tennis, fencing",In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,K Beerschot VAC,association football club,http://www.wikidata.org/entity/Q685182,K. Beerschot V.A.C.,NA,NA,NA,NA
"Flower Hall (Floraliën), Middelheim Park",Existing,"Modern pentathlon
(fencing)",Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA
Ice Palace,Existing,"Ice hockey,
figure skating",Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,1920 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8128,1920 Summer Olympics,NA,NA,NA,NA
Vélodrome d’Anvers Zurenborg,Existing,Cycling (track),Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Zurenborg Velodrome,velodrome,http://www.wikidata.org/entity/Q110417402,Zurenborg velodrome,Point(4.434545607 51.20224467),NA,1894,P571
Stadion Broodstraat,Existing,Football,Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Olympisch Stadion (Antwerp),Olympic stadium; association football venue,http://www.wikidata.org/entity/Q1057087,Olympisch Stadion Antwerp,NA,NA,NA,NA
"Shooting Range, Het Kiel (Shieetbaan, Het Kiel)",Existing,Modern pentathlon (shooting),Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp Olympic Stadium (Olympisch Stadion),New build,"Athletics, hockey,
equestrian, gymnastics,
football, rugby, tug of
war, modern pentathlon
(running, equestrian),
weightlifting, Opening
and Closing
Ceremonies",In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Olympisch Stadion (Antwerp),Olympic stadium; association football venue,http://www.wikidata.org/entity/Q1057087,Olympisch Stadion Antwerp,NA,NA,NA,NA
Merksem-Antwerp,Temporary,"Eventing, cycling (road)",Dismantled (temporary),1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Merksem,district of Antwerp; municipality section,http://www.wikidata.org/entity/Q2543761,Merksem,NA,NA,NA,NA
Antwerp Water Sports Stadium,Temporary,"Swimming, diving, water
polo, modern pentathlon
(swimming)",Dismantled (temporary),1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,1920 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8128,1920 Summer Olympics,NA,NA,NA,NA
Duden Park Stadium,Existing,Football,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Joseph Marien Stadium,stadium,http://www.wikidata.org/entity/Q3495665,Joseph Marien Stadium,Point(4.32917 50.8178),5100,1919,P1619
Wellington Racing Track (Wellingtonrenbaan),Existing,Polo,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA
Oostende,Existing,Sailing,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,BC Oostende,basketball team; basketball club,http://www.wikidata.org/entity/Q161820,BC Oostende,NA,NA,NA,NA
Willebroek Canal (Willebroekse Vaart),Existing,Rowing,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA
Buiten-IJ,Existing,Sailing,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,IJ (Amsterdam),channel,http://www.wikidata.org/entity/Q338137,IJ,NA,NA,NA,NA
Beverloo Camp (Kamp Beverloo),Existing,Shooting,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Beverloo Camp,military training area,http://www.wikidata.org/entity/Q2054357,Beverloo Camp,NA,NA,NA,NA
Jules Otten Stadium,New build,Football,Not in use (demolished),1920,Antwerp,replaced by successor stadium - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Jules Ottenstadion,association football venue,http://www.wikidata.org/entity/Q1711746,Jules Ottenstadion,NA,NA,NA,NA
