venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source,venue_age,years_since_event,years_since_construction,venue_lon,venue_lat,city_lon,city_lat,distance_mi,class_clean,class_group,new_build,status_clean,status_group,white_elephant,log_capacity,log_gdp,log_city_pop,log_distance,era,region,gdp_pct_rank,gdp_z,vid,set,capacity_z,capacity_pct_rank,log_capacity_missing,log_capacity_imp,log_gdp_missing,log_gdp_imp,log_city_pop_missing,log_city_pop_imp,log_distance_missing,log_distance_imp,venue_age_missing,venue_age_imp,years_since_event_missing,years_since_event_imp,years_since_construction_missing,years_since_construction_imp,gdp_pct_rank_missing,gdp_pct_rank_imp,gdp_z_missing,gdp_z_imp,city_pop_pct_rank_missing,city_pop_pct_rank_imp,city_pop_z_missing,city_pop_z_imp,capacity_pct_rank_missing,capacity_pct_rank_imp,capacity_z_missing,capacity_z_imp
Creve Coeur Lake,Existing,Rowing,In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,0.9324038122132016,0.4090368619437195,1975,72,"Creve Coeur, Missouri",city in the United States,http://www.wikidata.org/entity/Q612541,Creve Coeur,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,6.282410661773409,NA,pre-WWII,Americas,NA,NA,Creve Coeur Lake St. Louis,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,6.282410661773409,1,1.8755179261162138,1,6.5,0,122,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9324038122132016,0,0.4090368619437195,1,0.6666666666666666,1,-0.37546740179326576
Glen Echo Country Club,Existing,Golf,In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,0.9324038122132016,0.4090368619437195,1975,72,Glen Echo Country Club,golf course,http://www.wikidata.org/entity/Q5567712,Glen Echo Country Club,Point(-90.3006 38.7011),NA,NA,NA,NA,122,NA,-90.3006,38.7011,-90.2810236006357,38.6569807401657,3.229668847172215,existing,Existing,0,in use,in use,FALSE,NA,NA,6.282410661773409,1.442123703273105,pre-WWII,Americas,NA,NA,Glen Echo Country Club St. Louis,test,NA,NA,1,9.629029932943677,1,9.11627573452121,0,6.282410661773409,0,1.442123703273105,1,6.5,0,122,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9324038122132016,0,0.4090368619437195,1,0.6666666666666666,1,-0.37546740179326576
Physical Culture Gymnasium,Existing,"Boxing, fencing",In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,0.9324038122132016,0.4090368619437195,1975,72,Gateway Arch,arch; park; architectural landmark; monument,http://www.wikidata.org/entity/Q2027162,Gateway Arch,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,6.282410661773409,NA,pre-WWII,Americas,NA,NA,Physical Culture Gymnasium St. Louis,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,6.282410661773409,1,1.8755179261162138,1,6.5,0,122,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9324038122132016,0,0.4090368619437195,1,0.6666666666666666,1,-0.37546740179326576
Dirt Courts near Francis Field,New build,Tennis,In use (rebuilt),1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,0.9324038122132016,0.4090368619437195,1975,72,Saint Helena,island; crown colony,http://www.wikidata.org/entity/Q34497,Saint Helena,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA,new build,New,1,in use (rebuilt),in use,FALSE,NA,NA,6.282410661773409,NA,pre-WWII,Americas,NA,NA,Dirt Courts near Francis Field St. Louis,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,6.282410661773409,1,1.8755179261162138,1,6.5,0,122,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9324038122132016,0,0.4090368619437195,1,0.6666666666666666,1,-0.37546740179326576
All England Lawn Tennis and Croquet Club,Existing,Tennis,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,All England Lawn Tennis and Croquet Club,sports club; gentlemen's club,http://www.wikidata.org/entity/Q815369,All England Lawn Tennis and Croquet Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA,existing,Existing,0,not in use (demolished),not in use,FALSE,NA,NA,8.905287225604779,NA,pre-WWII,Europe,NA,NA,All England Lawn Tennis and Croquet Club London,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,1,1.8755179261162138,1,6.5,0,118,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
Hurlingham Polo Grounds,Existing,Polo,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,The Hurlingham Club,sports club,http://www.wikidata.org/entity/Q1638472,Hurlingham Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,8.905287225604779,NA,pre-WWII,Europe,NA,NA,Hurlingham Polo Grounds London,test,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,1,1.8755179261162138,1,6.5,0,118,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
Northampton Institute,Existing,Boxing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,"City St George's, University of London",university,http://www.wikidata.org/entity/Q124917493,"City St George's, University of London",NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,8.905287225604779,NA,pre-WWII,Europe,NA,NA,Northampton Institute London,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,1,1.8755179261162138,1,6.5,0,118,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
Queen’s Club,Existing,Tennis,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,Queen's Club,sports club; tennis venue,http://www.wikidata.org/entity/Q1748936,The Queen's Club,Point(-0.211666666 51.4875),NA,1886,P571,22,118,140,-0.211666666,51.4875,-0.1269853785119,51.508926472857,3.9361937465889993,existing,Existing,0,in use,in use,FALSE,NA,NA,8.905287225604779,1.59659453757283,pre-WWII,Europe,NA,NA,Queen’s Club London,test,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,0,1.59659453757283,0,22,0,118,0,140,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
"Prince’s Skating Club, Montpelier Square",Existing,Figure skating,Not in use (demolished),1908,London,abandoned before demolition - this is the white elephant,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,Prince's Club,sports club; gentlemen's club,http://www.wikidata.org/entity/Q7243731,Prince's Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA,existing,Existing,0,not in use (demolished),not in use,TRUE,NA,NA,8.905287225604779,NA,pre-WWII,Europe,NA,NA,"Prince’s Skating Club, Montpelier Square London",train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,1,1.8755179261162138,1,6.5,0,118,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
"Prince’s Galleries, Piccadilly (Prince’s Hall)",Existing,Fencing,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,Prince's Hall,concert hall,http://www.wikidata.org/entity/Q101037017,Prince's Hall,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA,existing,Existing,0,not in use (demolished),not in use,FALSE,NA,NA,8.905287225604779,NA,pre-WWII,Europe,NA,NA,"Prince’s Galleries, Piccadilly (Prince’s Hall) London",train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,1,1.8755179261162138,1,6.5,0,118,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
Uxendon Shooting School Club,Existing,Shooting,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,0.9968231556653724,9.706161347154746,1975,69,Uxendon Shooting School Club,sports venue,http://www.wikidata.org/entity/Q7904060,Uxendon Shooting School Club,Point(-0.285556 51.5725),NA,NA,NA,NA,118,NA,-0.285556,51.5725,-0.1269853785119,51.508926472857,8.116414523621817,existing,Existing,0,not in use (demolished),not in use,FALSE,NA,NA,8.905287225604779,2.21007658244503,pre-WWII,Europe,NA,NA,Uxendon Shooting School Club London,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.905287225604779,0,2.21007658244503,1,6.5,0,118,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9968231556653724,0,9.706161347154746,1,0.6666666666666666,1,-0.37546740179326576
