venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi
S-047,S-047,Villa Park,Birmingham,England,WC-1966,1966,1960,1897,52000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Villa_Park,GBR,1397.5948032844,NA,2250.104,0.9892340275326508,2.742955105034759,1975,15,69,60,129,Point(-1.884722222 52.509166666),-1.884722222,52.509166666,-1.96039982513583,52.5046010416867,3.2017897420630064
S-048,S-048,Goodison Park,Liverpool,England,WC-1966,1966,1960,1892,50000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Goodison_Park,GBR,1397.5948032844,NA,1410.598,0.9779385810095306,1.601167494126314,1975,15,74,60,134,Point(-2.966388888 53.438888888),-2.966388888,53.438888888,-2.92664752038951,53.4212433405949,2.0426098803908688
S-049,S-049,Wembley Stadium,London,England,WC-1966,1966,1960,1923,99000,Single-purpose,Existing,in use,rebuilt 2007,NA,https://en.wikipedia.org/wiki/Wembley_Stadium_(1923),GBR,1397.5948032844,NA,7369.842,0.9968231556653724,9.706161347154746,1975,15,43,60,103,Point(-0.279722222 51.555555555),-0.279722222,51.555555555,-0.1269853785119,51.508926472857,7.320966625103127
S-050,S-050,White City Stadium,London,England,WC-1966,1966,1960,1908,77000,Multi-purpose,Existing,not in use,demolished 1985,urban redevelopment,https://en.wikipedia.org/wiki/White_City_Stadium,GBR,1397.5948032844,NA,7369.842,0.9968231556653724,9.706161347154746,1975,15,58,60,118,Point(-0.2274 51.513619444),-0.2274,51.513619444,-0.1269853785119,51.508926472857,4.334944550247499
S-051,S-051,Old Trafford,Manchester,England,WC-1966,1966,1960,1910,58000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Old_Trafford,GBR,1397.5948032844,NA,2174.141,0.9887045534768796,2.639640045598093,1975,15,56,60,116,Point(-2.291388888 53.463055555),-2.291388888,53.463055555,-2.25536904358391,53.4938305721117,2.5942473259075456
S-052,S-052,Ayresome Park,Middlesbrough,England,WC-1966,1966,1960,1903,40000,Single-purpose,Existing,not in use,demolished 1997,replaced by successor stadium,https://en.wikipedia.org/wiki/Ayresome_Park,GBR,1397.5948032844,NA,291.619,0.8720437698552771,0.07927681190757947,1975,15,63,60,123,Point(-1.246944 54.564167),-1.246944,54.564167,-1.25924166157047,54.5581999439387,0.6431447275735288
S-053,S-053,Hillsborough Stadium,Sheffield,England,WC-1966,1966,1960,1899,43000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Hillsborough_Stadium,GBR,1397.5948032844,NA,438.851,0.9181080127073772,0.2795227583680838,1975,15,67,60,127,Point(-1.500555555 53.411388888),-1.500555555,53.411388888,-1.45925608252335,53.3706344632346,3.2938054576448432
S-054,S-054,Roker Park,Sunderland,England,WC-1966,1966,1960,1898,40000,Single-purpose,Existing,not in use,demolished 1998,replaced by successor stadium,https://en.wikipedia.org/wiki/Roker_Park,GBR,1397.5948032844,NA,89.588,0.47758559830568303,-0.19549965522838397,1975,15,68,60,128,Point(-1.375480555 54.9213),-1.375480555,54.9213,-1.40546098910939,54.9015943817062,1.8108015114627378
S-055,S-055,Stade du Fort Carré,Antibes,France,WC-1938,1938,1936,1935,7000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_du_Fort_Carré,FRA,NA,NA,350.787,0.8946346629015178,0.15974948198049238,1975,39,3,88,91,Point(7.12603 43.59221),7.12603,43.59221,7.23689310656928,43.6992907272345,9.254947821621927
S-056,S-056,Stade du Parc Lescure,Bordeaux,France,WC-1938,1938,1936,1938,35000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,FRA,NA,NA,432.66,0.9165195905400636,0.2711025599428979,1975,39,0,88,88,Point(-0.598056 44.829167),-0.598056,44.829167,-0.590814108045867,44.8356958502408,0.5745839729420662
S-056,S-056,Stade du Parc Lescure,Bordeaux,France,WC-1998,1998,1992,1938,35000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,FRA,23615.0168565483,NA,486.841,0.9127059784829088,0.2275054211395878,1992,0,60,28,88,Point(-0.598056 44.829167),-0.598056,44.829167,-0.590814108045867,44.8356958502408,0.5745839729420662
S-057,S-057,Stade des Alpes,Grenoble,France,WC-2019,2019,2015,2008,18000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_des_Alpes,FRA,36702.4323733379,70,351.822,0.8637239607231348,0.03567755852211184,2015,0,11,7,18,Point(5.740194 45.187474),5.740194,45.187474,5.72387810164488,45.1803677865258,0.9350820738174918
S-058,S-058,Stade Jules Deschaseaux,Le Havre,France,WC-1938,1938,1936,1932,22000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Jules_Deschaseaux,FRA,NA,NA,241.698,0.8379809389339923,0.01138071667519219,1975,39,6,88,94,Point(0.1712 49.50185),0.1712,49.50185,0.135765864728999,49.4976375722144,1.6182608092820743
S-059,S-059,Stade Océane,Le Havre,France,WC-2019,2019,2015,2012,24000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Océane,FRA,36702.4323733379,70,179.414,0.7200146829402588,-0.10938426455419652,2015,0,7,7,14,Point(0.1697 49.4988),0.1697,49.4988,0.135765864728999,49.4976375722144,1.5265943482740765
S-060,S-060,Stade Félix-Bollaert,Lens,France,WC-1998,1998,1992,1933,41000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Bollaert-Delelis,FRA,23615.0168565483,NA,198.074,0.7592264741931091,-0.0843075099904536,1992,0,65,28,93,Point(2.81491 50.4329),2.81491,50.4329,2.85769608609301,50.4238318401949,1.9869647668164216
S-061,S-061,Stade Victor Boucquey,Lille,France,WC-1938,1938,1936,1902,15000,Single-purpose,Existing,not in use,demolished 1975,replaced by successor stadium,https://en.wikipedia.org/wiki/Stade_Henri-Jooris,FRA,NA,NA,809.558,0.9553476879632898,0.7837105305543898,1975,39,36,88,124,Point(3.036111 50.6375),3.036111,50.6375,3.10839581952198,50.65965832155,3.5214351920198883
S-062,S-062,Parc Olympique Lyonnais,Lyon,France,WC-2019,2019,2015,2016,58000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Parc_Olympique_Lyonnais,FRA,36702.4323733379,70,1147.653,0.9616408185739196,0.7052792923200885,2015,0,3,7,10,Point(4.982131 45.765224),4.982131,45.765224,4.85885943098658,45.7528788427831,6.00993218811672
S-063,S-063,Stade de Gerland,Lyon,France,WC-1998,1998,1992,1926,44000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_Gerland,FRA,23615.0168565483,NA,968.012,0.9565572654228516,0.7470777402923064,1992,0,72,28,100,Point(4.83225 45.72377),4.83225,45.72377,4.85885943098658,45.7528788427831,2.3883824093903625
S-064,S-064,Stade Vélodrome,Marseille,France,WC-1938,1938,1936,1937,60000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Vélodrome,FRA,NA,NA,700.86,0.946523120367102,0.6358735529383559,1975,39,1,88,89,Point(5.394907 43.269241),5.394907,43.269241,5.40232730901477,43.3053787667524,2.527449648354813
S-064,S-064,Stade Vélodrome,Marseille,France,WC-1998,1998,1992,1937,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Vélodrome,FRA,23615.0168565483,NA,802.057,0.9481138499250988,0.5678781953800208,1992,0,61,28,89,Point(5.394907 43.269241),5.394907,43.269241,5.40232730901477,43.3053787667524,2.527449648354813
S-065,S-065,Stade de la Mosson,Montpellier,France,WC-1998,1998,1992,1972,34000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,FRA,23615.0168565483,NA,207.625,0.771755413318807,-0.07399426330636912,1992,0,26,28,54,Point(3.81279 43.62061),3.81279,43.62061,3.8663733962312,43.6147012911113,2.7142394545023247
S-065,S-065,Stade de la Mosson,Montpellier,France,WC-2019,2019,2015,1972,34000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,FRA,36702.4323733379,70,305.122,0.8422501605946591,-0.00361520711326238,2015,0,47,7,54,Point(3.81279 43.62061),3.81279,43.62061,3.8663733962312,43.6147012911113,2.7142394545023247
