venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi,log_capacity,log_gdp,log_city_pop,log_distance,new_build,single_purpose,white_elephant,era,region,gdp_pct_rank,gdp_z,set,capacity_z,capacity_pct_rank,log_capacity_missing,log_capacity_imp,log_gdp_missing,log_gdp_imp,log_city_pop_missing,log_city_pop_imp,log_distance_missing,log_distance_imp,venue_age_missing,venue_age_imp,years_since_event_missing,years_since_event_imp,years_since_construction_missing,years_since_construction_imp,gdp_pct_rank_missing,gdp_pct_rank_imp,gdp_z_missing,gdp_z_imp,city_pop_pct_rank_missing,city_pop_pct_rank_imp,city_pop_z_missing,city_pop_z_imp,capacity_pct_rank_missing,capacity_pct_rank_imp,capacity_z_missing,capacity_z_imp
S-020,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,WC-2014,2014,2007,1950,200000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Maracanã_Stadium,BRA,7409.69130673473,NA,8819.242,0.9967282321899736,7.664585977234602,2007,0,64,12,76,Point(-43.230277777 -22.912222222),-43.230277777,-22.912222222,-43.3666524274637,-22.8458452131082,9.829268980200304,12.206077645517674,8.910679007694915,9.084804586266156,2.38225255921488,0,1,FALSE,recent,Americas,0.6057692307692307,-0.33932007998871866,train,2.8373859017755403,1,0,12.206077645517674,0,8.910679007694915,0,9.084804586266156,0,2.38225255921488,0,64,0,12,0,76,0,0.6057692307692307,0,-0.33932007998871866,0,0.9967282321899736,0,7.664585977234602,0,1,0,2.8373859017755403
S-021,S-021,Arena Fonte Nova,Salvador,Brazil,WC-2014,2014,2007,2013,52000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Fonte_Nova,BRA,7409.69130673473,NA,2776.686,0.9855408970976254,2.2253252236590586,2007,0,1,12,13,Point(-38.504252777 -12.978819444),-38.504252777,-12.978819444,-38.4513681656682,-12.9366878889254,4.604531050408771,10.859018228147889,8.910679007694915,7.929373485968286,1.72357538672752,1,1,FALSE,recent,Americas,0.6057692307692307,-0.33932007998871866,train,-0.2565620205892149,0.6363636363636364,0,10.859018228147889,0,8.910679007694915,0,7.929373485968286,0,1.72357538672752,0,1,0,12,0,13,0,0.6057692307692307,0,-0.33932007998871866,0,0.9855408970976254,0,2.2253252236590586,0,0.6363636363636364,0,-0.2565620205892149
S-022,S-022,Arena Corinthians,São Paulo,Brazil,WC-2014,2014,2007,2014,63000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Corinthians,BRA,7409.69130673473,NA,17722.396,0.9986279683377308,15.6788395704556,2007,0,0,12,12,Point(-46.474 -23.545555555),-46.474,-23.545555555,-46.5998582137567,-23.5767447751221,8.2664461149112185,11.050905878263569,8.910679007694915,9.7826408536525,2.226399931196095,1,1,FALSE,recent,Americas,0.6057692307692307,-0.33932007998871866,test,-0.02660643176480746,0.7272727272727273,0,11.050905878263569,0,8.910679007694915,0,9.7826408536525,0,2.226399931196095,0,0,0,12,0,12,0,0.6057692307692307,0,-0.33932007998871866,0,0.9986279683377308,0,15.6788395704556,0,0.7272727272727273,0,-0.02660643176480746
S-023,S-023,Estádio do Pacaembu,São Paulo,Brazil,WC-1950,1950,1946,1940,60000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Pacaembu_Stadium,BRA,NA,NA,10536.121,0.9989410518884576,14.012525012071473,1975,29,10,76,86,Point(-46.665111 -23.548639),-46.665111,-23.548639,-46.5998582137567,-23.5767447751221,4.571267957203491,11.002116507732016,NA,9.262659634878,1.7176226684645477,0,1,FALSE,postwar,Americas,NA,NA,train,0.05487419842476181,0.7777777777777778,0,11.002116507732016,1,8.956551223174765,0,9.262659634878,0,1.7176226684645477,0,10,0,76,0,86,1,0.8181818181818182,1,0.597271311946225,0,0.9989410518884576,0,14.012525012071473,0,0.7777777777777778,0,0.05487419842476181
S-024,S-024,Commonwealth Stadium,Edmonton,Canada,WC-2015,2015,2011,1978,56000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Commonwealth_Stadium_(Edmonton),CAN,52224.1237767406,NA,681.347,0.9317375886524822,0.3242530353276333,2011,0,37,11,48,Point(-113.476111111 53.559722222),-113.476111111,53.559722222,-113.526776631936,53.5580409008345,2.08495354103813,10.933124826700707,10.863318956488795,6.525538326103783,1.1265365976128776,0,0,FALSE,recent,Americas,0.919431279620853,1.2876490732343835,test,0.8409386505740855,1,0,10.933124826700707,0,10.863318956488795,0,6.525538326103783,0,1.1265365976128776,0,37,0,11,0,48,0,0.919431279620853,0,1.2876490732343835,0,0.9317375886524822,0,0.3242530353276333,0,1,0,0.8409386505740855
S-025,S-025,Moncton Stadium,Moncton,Canada,WC-2015,2015,2011,2010,13000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Moncton_Stadium,CAN,52224.1237767406,NA,NA,NA,NA,NA,NA,5,11,16,Point(-64.7833 46.1083),-64.7833,46.1083,NA,NA,NA,9.472781556562168,10.863318956488795,NA,NA,0,0,FALSE,recent,Americas,0.919431279620853,1.2876490732343835,train,-1.2861414655838954,0.25,0,9.472781556562168,0,10.863318956488795,1,6.947718727117041,1,1.4190933953218807,0,5,0,11,0,16,0,0.919431279620853,0,1.2876490732343835,1,0.9608729538038422,1,0.7243927925395678,0,0.25,0,-1.2861414655838954
S-026,S-026,Olympic Stadium,Montreal,Canada,WC-2015,2015,2011,1976,56000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),CAN,52224.1237767406,NA,2429.778,0.9815799842395588,1.841113863722651,2011,0,39,11,50,Point(-73.55164 45.55781),-73.55164,45.55781,-73.6660077343496,45.5363747662468,5.735168304665074,10.933124826700707,10.863318956488795,7.795966649701896,1.9073427991068976,0,0,FALSE,recent,Americas,0.919431279620853,1.2876490732343835,train,0.8409386505740855,1,0,10.933124826700707,0,10.863318956488795,0,7.795966649701896,0,1.9073427991068976,0,39,0,11,0,50,0,0.919431279620853,0,1.2876490732343835,0,0.9815799842395588,0,1.841113863722651,0,1,0,0.8409386505740855
S-027,S-027,TD Place Stadium,Ottawa,Canada,WC-2015,2015,2011,1908,24000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/TD_Place_Stadium,CAN,52224.1237767406,NA,525.176,0.9086879432624112,0.1887660344501161,2011,0,107,11,118,Point(-75.68365 45.398177777),-75.68365,45.398177777,-75.7077321725072,45.3955477032064,1.1837641867607285,10.085850775128716,10.863318956488795,6.265635757531816,0.7810500789582399,0,0,FALSE,recent,Americas,0.919431279620853,1.2876490732343835,test,-0.7420046916830165,0.25,0,10.085850775128716,0,10.863318956488795,0,6.265635757531816,0,0.7810500789582399,0,107,0,11,0,118,0,0.919431279620853,0,1.2876490732343835,0,0.9086879432624112,0,0.1887660344501161,0,0.25,0,-0.7420046916830165
S-028,S-028,BC Place,Vancouver,Canada,WC-2015,2015,2011,1983,54000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/BC_Place,CAN,52224.1237767406,NA,1447.119,0.9692671394799054,0.9886027009888516,2011,0,32,11,43,Point(-123.111944444 49.276666666),-123.111944444,49.276666666,-123.041037806083,49.2459167118132,3.84311440950632,10.896757843893464,10.863318956488795,7.278020751889322,1.5775579868270293,0,0,FALSE,recent,Americas,0.919431279620853,1.2876490732343835,train,0.7420046916830165,0.75,0,10.896757843893464,0,10.863318956488795,0,7.278020751889322,0,1.5775579868270293,0,32,0,11,0,43,0,0.919431279620853,0,1.2876490732343835,0,0.9692671394799054,0,0.9886027009888516,0,0.75,0,0.7420046916830165
S-029,S-029,Investors Group Field,Winnipeg,Canada,WC-2015,2015,2011,2013,33000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Investors_Group_Field,CAN,52224.1237767406,NA,558.191,0.9144011032308904,0.21740837735610524,2011,0,2,11,13,Point(-97.143056 49.807778),-97.143056,49.807778,-97.1474722573086,49.891838473895,5.817873587407796,10.404293143019792,10.863318956488795,6.326491096369483,1.919547632535875,1,0,FALSE,recent,Americas,0.919431279620853,1.2876490732343835,train,-0.2968018766732066,0.5,0,10.404293143019792,0,10.863318956488795,0,6.326491096369483,0,1.919547632535875,0,2,0,11,0,13,0,0.919431279620853,0,1.2876490732343835,0,0.9144011032308904,0,0.21740837735610524,0,0.5,0,-0.2968018766732066
S-030,S-030,Estadio Carlos Dittborn,Arica,Chile,WC-1962,1962,1956,1962,18000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Carlos_Dittborn,CHL,NA,NA,76.752,0.3743381574302859,-0.21295752422946412,1975,19,0,64,64,Point(-70.299166666 -18.4875),-70.299166666,-18.4875,-70.2966028045551,-18.4729862846676,1.0179193907855382,9.798182590890704,NA,4.3535242742011695,0.7020669760322714,1,0,FALSE,postwar,Americas,NA,NA,train,-0.5773502691896258,0.6666666666666666,0,9.798182590890704,1,8.956551223174765,0,4.3535242742011695,0,0.7020669760322714,0,0,0,64,0,64,1,0.8181818181818182,1,0.597271311946225,0,0.3743381574302859,0,-0.21295752422946412,0,0.6666666666666666,0,-0.5773502691896258
