venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap
S-031,S-031,Estadio El Teniente,Rancagua,Chile,WC-1962,1962,1956,1947,18000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_El_Teniente,CHL,NA,NA,88.323,0.468937522061419,-0.19722014481130443,1975,19
S-032,S-032,Estadio Nacional,Santiago,Chile,WC-1962,1962,1956,1938,67000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Nacional_Julio_Mart%C3%ADnez_Prádanos,CHL,NA,NA,2834.965,0.9917049064595835,3.5384074828659173,1975,19
S-033,S-033,Estadio Sausalito,Viña del Mar,Chile,WC-1962,1962,1956,1929,18000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Sausalito,CHL,NA,NA,556.334,0.9350511824920579,0.4393079581074029,1975,19
S-034,S-034,Chengdu Sports Center,Chengdu,China,WC-2007,2007,2003,1991,40000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Chengdu_Sports_Centre,CHN,1306.97245408557,NA,6004.029,0.9952402538531279,5.332482025106226,2003,0
S-035,S-035,New Plaza Stadium,Foshan,China,WC-1991,1991,1988,1991,14000,Multi-purpose,New,not in use,demolished 2007,urban redevelopment,https://en.wikipedia.org/wiki/New_Plaza_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957709,3.7244334793328626,1988,0
S-037,S-037,Guangdong Provincial Stadium,Guangzhou,China,WC-1991,1991,1988,1932,25000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Guangdong_Provincial_People's_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957709,3.7244334793328626,1988,0
S-039,S-039,Tianhe Stadium,Guangzhou,China,WC-1991,1991,1988,1987,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Tianhe_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957709,3.7244334793328626,1988,0
S-040,S-040,Ying Tung Stadium,Guangzhou,China,WC-1991,1991,1988,1988,15000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Henry_Fok_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957709,3.7244334793328626,1988,0
S-041,S-041,Yellow Dragon Sports Center,Hangzhou,China,WC-2007,2007,2003,2000,51000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Yellow_Dragon_Sports_Center,CHN,1306.97245408557,NA,5459.276,0.9946736174070716,4.8230812443565325,2003,0
S-042,S-042,Jiangmen Stadium,Jiangmen,China,WC-1991,1991,1988,NA,13000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Jiangmen_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957709,3.7244334793328626,1988,0
S-043,S-043,Hongkou Football Stadium,Shanghai,China,WC-2007,2007,2003,1999,33000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Hongkou_Football_Stadium,CHN,1306.97245408557,NA,15880.487,0.9984134179510427,14.567998701914902,2003,0
S-044,S-044,Tianjin Olympic Center,Tianjin,China,WC-2007,2007,2003,2007,60000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Tianjin_Olympic_Center,CHN,1306.97245408557,NA,4720.436,0.9939936536718041,4.132188908106702,2003,0
S-045,S-045,Wuhan Sports Center,Wuhan,China,WC-2007,2007,2003,2002,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Wuhan_Sports_Center,CHN,1306.97245408557,NA,5973.493,0.9950135992747053,5.303927685357803,2003,0
S-046,S-046,Zhongshan Stadium,Zhongshan,China,WC-1991,1991,1988,1991,12000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Zhongshan_Sports_Center_Stadium,CHN,284.023573149686,NA,210.114,0.7790473364000594,-0.06725879216998318,1988,0
S-047,S-047,Villa Park,Birmingham,England,WC-1966,1966,1960,1897,52000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Villa_Park,GBR,1397.5948032844,NA,2250.104,0.9892340275326509,2.742955105034759,1975,15
S-048,S-048,Goodison Park,Liverpool,England,WC-1966,1966,1960,1892,50000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Goodison_Park,GBR,1397.5948032844,NA,1410.598,0.9779385810095306,1.6011674941263139,1975,15
S-049,S-049,Wembley Stadium,London,England,WC-1966,1966,1960,1923,99000,Single-purpose,Existing,in use,rebuilt 2007,NA,https://en.wikipedia.org/wiki/Wembley_Stadium_(1923),GBR,1397.5948032844,NA,7369.842,0.9968231556653724,9.706161347154746,1975,15
S-050,S-050,White City Stadium,London,England,WC-1966,1966,1960,1908,77000,Multi-purpose,Existing,not in use,demolished 1985,urban redevelopment,https://en.wikipedia.org/wiki/White_City_Stadium,GBR,1397.5948032844,NA,7369.842,0.9968231556653724,9.706161347154746,1975,15
S-051,S-051,Old Trafford,Manchester,England,WC-1966,1966,1960,1910,58000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Old_Trafford,GBR,1397.5948032844,NA,2174.141,0.9887045534768797,2.639640045598093,1975,15
S-052,S-052,Ayresome Park,Middlesbrough,England,WC-1966,1966,1960,1903,40000,Single-purpose,Existing,not in use,demolished 1997,replaced by successor stadium,https://en.wikipedia.org/wiki/Ayresome_Park,GBR,1397.5948032844,NA,291.619,0.8720437698552771,0.07927681190757947,1975,15
S-053,S-053,Hillsborough Stadium,Sheffield,England,WC-1966,1966,1960,1899,43000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Hillsborough_Stadium,GBR,1397.5948032844,NA,438.851,0.9181080127073773,0.2795227583680838,1975,15
S-054,S-054,Roker Park,Sunderland,England,WC-1966,1966,1960,1898,40000,Single-purpose,Existing,not in use,demolished 1998,replaced by successor stadium,https://en.wikipedia.org/wiki/Roker_Park,GBR,1397.5948032844,NA,89.588,0.47758559830568303,-0.19549965522838397,1975,15
S-055,S-055,Stade du Fort Carré,Antibes,France,WC-1938,1938,1936,1935,7000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_du_Fort_Carré,FRA,NA,NA,350.787,0.8946346629015178,0.15974948198049238,1975,39
S-056,S-056,Stade du Parc Lescure,Bordeaux,France,WC-1938,1938,1936,1938,35000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,FRA,NA,NA,432.66,0.9165195905400635,0.2711025599428979,1975,39
S-056,S-056,Stade du Parc Lescure,Bordeaux,France,WC-1998,1998,1992,1938,35000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,FRA,23615.0168565483,NA,486.841,0.9127059784829089,0.2275054211395878,1992,0
S-057,S-057,Stade des Alpes,Grenoble,France,WC-2019,2019,2015,2008,18000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_des_Alpes,FRA,36702.4323733379,70,351.822,0.8637239607231348,0.03567755852211184,2015,0
S-058,S-058,Stade Jules Deschaseaux,Le Havre,France,WC-1938,1938,1936,1932,22000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Jules_Deschaseaux,FRA,NA,NA,241.698,0.8379809389339923,0.01138071667519219,1975,39
S-059,S-059,Stade Océane,Le Havre,France,WC-2019,2019,2015,2012,24000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Océane,FRA,36702.4323733379,70,179.414,0.7200146829402588,-0.10938426455419652,2015,0
S-060,S-060,Stade Félix-Bollaert,Lens,France,WC-1998,1998,1992,1933,41000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Bollaert-Delelis,FRA,23615.0168565483,NA,198.074,0.7592264741931091,-0.0843075099904536,1992,0
S-061,S-061,Stade Victor Boucquey,Lille,France,WC-1938,1938,1936,1902,15000,Single-purpose,Existing,not in use,demolished 1975,replaced by successor stadium,https://en.wikipedia.org/wiki/Stade_Henri-Jooris,FRA,NA,NA,809.558,0.9553476879632898,0.7837105305543898,1975,39
S-062,S-062,Parc Olympique Lyonnais,Lyon,France,WC-2019,2019,2015,2016,58000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Parc_Olympique_Lyonnais,FRA,36702.4323733379,70,1147.653,0.9616408185739195,0.7052792923200885,2015,0
S-063,S-063,Stade de Gerland,Lyon,France,WC-1998,1998,1992,1926,44000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_Gerland,FRA,23615.0168565483,NA,968.012,0.9565572654228517,0.7470777402923064,1992,0
S-064,S-064,Stade Vélodrome,Marseille,France,WC-1938,1938,1936,1937,60000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Vélodrome,FRA,NA,NA,700.86,0.9465231203671021,0.6358735529383559,1975,39
S-064,S-064,Stade Vélodrome,Marseille,France,WC-1998,1998,1992,1937,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_Vélodrome,FRA,23615.0168565483,NA,802.057,0.9481138499250987,0.5678781953800208,1992,0
S-065,S-065,Stade de la Mosson,Montpellier,France,WC-1998,1998,1992,1972,34000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,FRA,23615.0168565483,NA,207.625,0.771755413318807,-0.07399426330636912,1992,0
S-065,S-065,Stade de la Mosson,Montpellier,France,WC-2019,2019,2015,1972,34000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,FRA,36702.4323733379,70,305.122,0.8422501605946591,-0.0036152071132623804,2015,0
S-066,S-066,Stade de la Beaujoire,Nantes,France,WC-1998,1998,1992,1984,40000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Stade_de_la_Beaujoire,FRA,23615.0168565483,NA,373.017,0.87920468473376,0.10459734967385302,1992,0
S-067,S-067,Allianz Riviera,Nice,France,WC-2019,2019,2015,2013,35000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Allianz_Riviera,FRA,36702.4323733379,70,427.898,0.88822611727998535,0.09968690409977202,2015,0
S-068,S-068,Parc des Princes,Paris,France,WC-1938,1938,1936,1897,49000,Multi-purpose,Existing,in use,rebuilt 1972,NA,https://en.wikipedia.org/wiki/Parc_des_Princes,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,39
S-068,S-068,Parc des Princes,Paris,France,WC-1998,1998,1992,1972,49000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Parc_des_Princes,FRA,23615.0168565483,NA,8124.42,0.997003949339507,8.474624706678622,1992,0
