venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,notes,wikipedia_link
S-055,S-055,Stade du Fort Carré,Antibes,France,WC-1938,1938,1936,1935,7000,Multi-purpose,Existing,in use,,,opened 1935,https://en.wikipedia.org/wiki/Stade_du_Fort_Carré
S-056,S-056,Stade du Parc Lescure,Bordeaux,France,WC-1938,1938,1936,1938,35000,Multi-purpose,New,in use,,,rebuilt 1935-38 for the WC,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas
S-056,S-056,Stade du Parc Lescure,Bordeaux,France,WC-1998,1998,1992,1938,35000,Multi-purpose,Existing,in use,,,same 1938 building; Existing,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas
S-057,S-057,Stade des Alpes,Grenoble,France,WC-2019,2019,2015,2008,18000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_des_Alpes
S-058,S-058,Stade Jules Deschaseaux,Le Havre,France,WC-1938,1938,1936,1932,22000,Multi-purpose,Existing,in use,,,opened 1932,https://en.wikipedia.org/wiki/Stade_Jules_Deschaseaux
S-059,S-059,Stade Océane,Le Havre,France,WC-2019,2019,2015,2012,24000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_Océane
S-060,S-060,Stade Félix-Bollaert,Lens,France,WC-1998,1998,1992,1933,41000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stade_Bollaert-Delelis
S-061,S-061,Stade Victor Boucquey,Lille,France,WC-1938,1938,1936,1902,15000,Single-purpose,Existing,not in use,demolished 1975,replaced by successor stadium,,https://en.wikipedia.org/wiki/Stade_Henri-Jooris
S-062,S-062,Parc Olympique Lyonnais,Lyon,France,WC-2019,2019,2015,2016,58000,Single-purpose,New,in use,,,"opened Jan 2016, WWC awarded Mar 2015; club project planned earlier; New under the two dates rule",https://en.wikipedia.org/wiki/Parc_Olympique_Lyonnais
S-063,S-063,Stade de Gerland,Lyon,France,WC-1998,1998,1992,1926,44000,Multi-purpose,Existing,in use,,,"built 1914, opened 1926",https://en.wikipedia.org/wiki/Stade_de_Gerland
