venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
"Olympic Stadium-Sollentuna-Olympic
Stadium",Temporary,Marathon,Dismantled (temporary),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Sandhamm,Existing,Sailing,In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Barkaby to Rinkeby,Existing,Modern pentathlon,Not in use (demolished),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Nynäshamn,New build,Sailing,In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Hoogboom Country Club,Existing,"Eventing, shooting",Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Nightingale Park
(Nachtegalenpark)",Existing,Archery,In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Celebration Hall, Royal
Zoological Society
(Feestzaal, Koninklijke
Zoölogische
Maatschappij)",Existing,"Boxing, wrestling",In use (rebuilt),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Royal Beerschot Tennis
and Hockey Club",Existing,"Tennis, fencing",In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Flower Hall (Floraliën),
Middelheim Park",Existing,"Modern pentathlon
(fencing)",Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Ice Palace,Existing,"Ice hockey,
figure skating",Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Vélodrome d’Anvers
Zurenborg",Existing,Cycling (track),Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Stadion Broodstraat,Existing,Football,Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Shooting Range, Het Kiel (Shieetbaan, Het
Kiel)",Existing,Modern pentathlon (shooting),Not in use (demolished),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Antwerp Olympic Stadium
(Olympisch Stadion)",New build,"Athletics, hockey,
equestrian, gymnastics,
football, rugby, tug of
war, modern pentathlon
(running, equestrian),
weightlifting, Opening
and Closing
Ceremonies",In use,1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
Merksem-Antwerp,Temporary,"Eventing, cycling (road)",Dismantled (temporary),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
"Antwerp Water Sports
Stadium",Temporary,"Swimming, diving, water
polo, modern pentathlon
(swimming)",Dismantled (temporary),1920,Antwerp,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61
